Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,26.877501,1056926000,,,,
2015-02-01,28.1315,808386000,,,,
2015-03-01,27.735001,864144000,,,,
2015-04-01,27.438499,874900000,,,,
2015-05-01,27.266001,648434000,,,,
2015-06-01,27.002001,704328000,,,,
2015-07-01,32.875,1370858000,,,,
2015-08-01,32.390999,1106942000,,,,
2015-09-01,31.918501,871504000,,,,
2015-10-01,36.869499,1005286000,,,,
2015-11-01,38.142502,751482000,,,,
2015-12-01,38.900501,872694000,,,,
2016-01-01,38.067501,1039984000,,,,
2016-02-01,35.861,1352946000,,,,
2016-03-01,38.145,853314000,,,,
2016-04-01,35.394001,933228000,,,,
2016-05-01,37.442501,682046000,,,,
2016-06-01,35.176498,839330000,,,,
2016-07-01,39.567001,653244000,,,,
2016-08-01,39.4925,577080000,,,,
2016-09-01,40.202999,630896000,,,,
2016-10-01,40.494999,707820000,,,,
2016-11-01,38.793999,967068000,,,,
2016-12-01,39.622501,687126000,,,,
2017-01-01,41.009499,736654000,,,,
2017-02-01,42.246498,529816000,,,,
2017-03-01,42.389999,691002000,,,,
2017-04-01,46.226002,574432000,,,,
2017-05-01,49.3545,707186000,,,,
2017-06-01,46.484001,881706000,,,,
2017-07-01,47.275002,838172000,,,,
2017-08-01,47.762001,656924000,,,,
2017-09-01,48.686001,592524000,,,,
2017-10-01,51.652,737076000,,,,
2017-11-01,51.808498,573720000,,,,
2017-12-01,52.669998,598810000,,,,
2018-01-01,59.111,657748000,,,,
2018-02-01,55.195999,1026814000,,,,
2018-03-01,51.856998,1042336000,,,,
2018-04-01,50.929001,984928000,,,,
2018-05-01,55.0,740734000,,,,
2018-06-01,56.459499,803684000,,,,
2018-07-01,61.361,835654000,,,,
2018-08-01,61.59,685718000,,,,
2018-09-01,60.354,718518000,,,,
2018-10-01,54.528999,1130942000,,,,
2018-11-01,55.482498,786236000,,,,
2018-12-01,52.248001,857436000,,,,
2019-01-01,56.294498,697168000,,,,
2019-02-01,56.327499,652174000,,,,
2019-03-01,58.844501,663738000,,,,
2019-04-01,59.948002,647446000,,,,
2019-05-01,55.325001,742726000,,,,
2019-06-01,54.139999,712452000,,,,
2019-07-01,60.91,715104000,,,,
2019-08-01,59.526501,586310000,,,,
2019-09-01,61.056999,517072000,,,,
2019-10-01,62.939999,603634000,,,,
2019-11-01,65.204498,528780000,,,,
2019-12-01,66.969498,559106000,,,,
2020-01-01,71.639,673594000,,,,
2020-02-01,66.962502,830656000,,,,
2020-03-01,58.0975,1570716000,,,,
2020-04-01,67.334999,1124224000,,,,
2020-05-01,71.676003,725130000,,,,
2020-06-01,70.902496,814160000,,,,
2020-07-01,74.397499,822998000,,,,
2020-08-01,81.476501,614564000,,,,
2020-09-01,73.279999,836634000,,,,
2020-10-01,80.805496,854920000,"Our strong results this quarter reflect the helpfulness of our products and services to people and businesses, as well as the accelerating transition to online services and the cloud. Google succeeds when we help our customers and partners succeed, and we see significant opportunities to forge meaningful partnerships as businesses increasingly look to a digital future. Our strong fourth quarter performance, with revenues of $56.9 billion, was driven by Search and YouTube, as consumer and business activity recovered from earlier in the year. Google Cloud revenues were $13.1 billion for 2020, with significant ongoing momentum, and we remain focused on delivering value across the growth opportunities we see.",37.037003,22.320502999999988,10.5625
2020-11-01,87.720001,631912000,,,,
2020-12-01,87.632004,608630000,,,,
2021-01-01,91.367996,791662000,,,,
2021-02-01,101.095497,678324000,,,,
2021-03-01,103.125999,756694000,,,,
2021-04-01,117.675003,702352000,,,,
2021-05-01,117.842499,603480000,,,,
2021-06-01,122.0895,544936000,,,,
2021-07-01,134.726501,610808000,,,,
2021-08-01,144.697495,461586000,,,,
2021-09-01,133.675995,590840000,,,,
2021-10-01,148.046005,720758000,"Our deep investment in AI technologies continues to drive extraordinary and helpful experiences for people and businesses, across our most important products. Q4 saw ongoing strong growth in our advertising business, which helped millions of businesses thrive and find new customers, a quarterly sales record for our Pixel phones despite supply constraints, and our Cloud business continuing to grow strongly. Our fourth quarter revenues of $75 billion, up 32% year over year, reflected broad-based strength in advertiser spend and strong consumer online activity, as well as substantial ongoing revenue growth from Google Cloud. Our investments have helped us drive this growth by delivering the services that people, our partners and businesses need, and we continue to invest in long-term opportunities.",-34.28400400000001,-8.978499999999997,-12.742508000000015
2021-11-01,141.897507,608378000,,,,
2021-12-01,144.852005,619694000,,,,
2022-01-01,135.303497,767206000,,,,
2022-02-01,135.057007,928126000,,,,
2022-03-01,139.067505,729162000,,,,
2022-04-01,114.109497,761152000,,,,
2022-05-01,113.762001,850450000,,,,
2022-06-01,108.962997,770754000,,,,
2022-07-01,116.32,789529700,,,,
2022-08-01,108.220001,515852700,,,,
2022-09-01,95.650002,613278900,,,,
2022-10-01,94.510002,681488300,"Our long-term investments in deep computer science make us extremely well-positioned as AI reaches an inflection point, and I’m excited by the AI-driven leaps we’re about to unveil in Search and beyond. There’s also great momentum in Cloud, YouTube subscriptions, and our Pixel devices. We’re on an important journey to re-engineer our cost structure in a durable way and to build financially sustainable, vibrant, growing businesses across Alphabet. Our Q4 consolidated revenues were $76 billion, up 1% year over year, or up 7% in constant currency, and $283 billion for the full year 2022, up 10%, or up 14% in constant currency. We have significant work underway to improve all aspects of our cost structure, in support of our investments in our highest growth priorities to deliver long-term, profitable growth.",28.360000999999997,9.220000999999996,4.329993999999999
2022-11-01,100.989998,716522700,,,,
2022-12-01,88.230003,603127800,,,,
2023-01-01,98.839996,672897800,,,,
2023-02-01,90.059998,952580200,,,,
2023-03-01,103.730003,859933900,,,,
2023-04-01,107.339996,604106300,,,,
2023-05-01,122.870003,820545400,,,,
