Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,70.129997,44937400,,,,
2015-02-01,79.099998,36078200,,,,
2015-03-01,73.940002,62751300,,,,
2015-04-01,76.059998,43561100,,,,
2015-05-01,79.089996,41858000,,,,
2015-06-01,81.010002,69707100,,,,
2015-07-01,81.989998,64725600,,,,
2015-08-01,78.57,66487100,,,,
2015-09-01,82.220001,87621600,,,,
2015-10-01,88.660004,85481100,,,,
2015-11-01,91.459999,38706000,,,,
2015-12-01,93.940002,62890100,,,,
2016-01-01,89.129997,64430000,,,,
2016-02-01,85.150002,94742000,,,,
2016-03-01,93.800003,92260100,,,,
2016-04-01,94.220001,51711500,,,,
2016-05-01,99.470001,41951100,,,,
2016-06-01,95.790001,70861700,,,,
2016-07-01,97.860001,38601400,,,,
2016-08-01,102.309998,37652700,,,,
2016-09-01,108.540001,65681300,,,,
2016-10-01,107.510002,35130100,,,,
2016-11-01,102.809998,57237800,,,,
2016-12-01,102.949997,61818500,,,,
2017-01-01,113.379997,49108400,,,,
2017-02-01,118.339996,38522300,,,,
2017-03-01,130.130005,61396600,,,,
2017-04-01,133.740005,38277400,,,,
2017-05-01,141.860001,49212200,,,,
2017-06-01,141.440002,75838300,,,,
2017-07-01,146.490005,35499400,,,,
2017-08-01,155.160004,34444400,,,,
2017-09-01,149.179993,55085000,,,,
2017-10-01,175.160004,73794000,,,,
2017-11-01,181.470001,43738500,,,,
2017-12-01,175.240005,64957400,,,,
2018-01-01,199.759995,55307100,"Adobe delivered record revenue of $2 billion in Q4. Our strong business momentum is driven by the market-leading solutions we provide to empower people to create and businesses to digitally transform. Adobe achieved record annual and quarterly revenue, and the leverage in our business model once again drove record profit and earnings. We are raising our fiscal 2018 revenue target and remain bullish about delivering strong top line and bottom line growth.",26.480009999999993,70.19001700000001,49.520004
2018-02-01,209.130005,51744400,,,,
2018-03-01,216.080002,80346400,,,,
2018-04-01,221.600006,56221000,,,,
2018-05-01,249.279999,50387700,,,,
2018-06-01,243.809998,77869600,,,,
2018-07-01,244.679993,53726000,,,,
2018-08-01,263.51001,54731400,,,,
2018-09-01,269.950012,60666000,,,,
2018-10-01,245.759995,106809200,,,,
2018-11-01,250.889999,81375200,,,,
2018-12-01,226.240005,96434700,,,,
2019-01-01,247.820007,68179500,"Adobe achieved record revenue of greater than $9 billion and delivered outstanding earnings performance in fiscal 2018. In 2018 we made significant investments across our product portfolio, entered new markets, and made strategic acquisitions which we believe will fuel continued top and bottom-line performance. We finished the year strong with record results across the board, meeting or exceeding all of our annual and quarterly targets which did not include Marketo. We’re excited to add Marketo and the expanded market opportunity it provides. We look forward to delivering strong revenue growth, accelerating earnings growth and healthy margin expansion during fiscal 2019.",81.989991,28.429992999999996,23.07998699999999
2019-02-01,262.5,51021600,,,,
2019-03-01,266.48999,71777300,,,,
2019-04-01,289.25,46806300,,,,
2019-05-01,270.899994,49495900,,,,
2019-06-01,294.649994,67824600,,,,
2019-07-01,298.859985,42485400,,,,
2019-08-01,284.51001,50861900,,,,
2019-09-01,276.25,65687900,,,,
2019-10-01,277.929993,60801100,,,,
2019-11-01,309.529999,44658300,,,,
2019-12-01,329.809998,51088000,,,,
2020-01-01,351.140015,44249000,"Adobe’s phenomenal performance in Q4 capped a record fiscal 2019 with revenue exceeding $11 billion. Adobe’s vision, category leadership, continuous product innovation and large and loyal customer base position us well for 2020 and beyond. Adobe delivered another year of strong revenue growth and expanding profitability resulting in record earnings. We are bullish about our opportunities and our ability to continue to deliver strong top- and bottom-line growth.",148.97998,139.28997800000002,35.459991
2020-02-01,345.119995,56911700,,,,
2020-03-01,318.23999,126565500,,,,
2020-04-01,353.640015,73060300,,,,
2020-05-01,386.600006,55496700,,,,
2020-06-01,435.309998,70630600,,,,
2020-07-01,444.320007,54648000,,,,
2020-08-01,513.390015,54518500,,,,
2020-09-01,490.429993,84762100,,,,
2020-10-01,447.100006,48077600,,,,
2020-11-01,478.470001,53547100,,,,
2020-12-01,500.119995,54979100,,,,
2021-01-01,458.769989,57398700,"Adobe delivered record Q4 and FY20 revenue performance amidst an unprecedented macroeconomic environment. As the undisputed leader in three growing categories - creativity, digital documents and customer experience management - we are well-positioned to capture the massive market opportunity ahead of us in 2021 and beyond. The resilience of our business, our operational discipline and ability to derive insights from real-time data has enabled us to thrive in 2020. Our record Q4 cash flow demonstrates the strength of our operating model, and we look forward to delivering strong top- and bottom-line growth in 2021.",108.29000899999994,116.94998199999998,45.80999800000001
2021-02-01,459.670013,44481400,,,,
2021-03-01,475.369995,75495000,,,,
2021-04-01,508.339996,40867600,,,,
2021-05-01,504.579987,39879500,,,,
2021-06-01,585.640015,52698300,,,,
2021-07-01,621.630005,33921000,,,,
2021-08-01,663.700012,28723500,,,,
2021-09-01,575.719971,52671900,,,,
2021-10-01,650.359985,44398000,,,,
2021-11-01,669.849976,43332600,,,,
2021-12-01,567.059998,84153000,,,,
2022-01-01,534.299988,84110900,"Adobe’s record performance in Q4 resulted in fiscal 2021 revenue exceeding $15 billion. Adobe’s vision, category leadership, ground-breaking technology and large and loyal customer base position us well for fiscal 2022 and beyond. Adobe’s financial performance in fiscal 2021 was outstanding, with top-line acceleration resulting in more than $7 billion in operating cash flows. With an estimated $205 billion addressable market, we are well positioned for significant growth in the years ahead with our industry-leading products and platforms.",-197.769989,-259.09997599999997,-117.819977
2022-02-01,467.679993,70327300,,,,
2022-03-01,455.619995,98677500,,,,
2022-04-01,395.950012,54962600,,,,
2022-05-01,416.480011,72499700,,,,
2022-06-01,366.059998,71835200,,,,
2022-07-01,410.119995,46401300,,,,
2022-08-01,373.440002,51826400,,,,
2022-09-01,275.200012,124381600,,,,
2022-10-01,318.5,82411600,,,,
2022-11-01,344.929993,70803500,,,,
2022-12-01,336.529999,65103400,,,,
2023-01-01,370.339996,48869800,,,,
2023-02-01,323.950012,57466500,,,,
2023-03-01,385.369995,82830400,,,,
2023-04-01,377.559998,39097900,,,,
2023-05-01,417.790009,86411900,,,,
