Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,1009.47998,17535300,,,,
2015-02-01,1237.47998,18089500,,,,
2015-03-01,1164.150024,13654800,,,,
2015-04-01,1237.810059,10381300,,,,
2015-05-01,1172.040039,14284900,,,,
2015-06-01,1151.369995,12433300,,,,
2015-07-01,1243.569946,12546300,,,,
2015-08-01,1248.640015,16398300,,,,
2015-09-01,1236.859985,12778000,,,,
2015-10-01,1454.23999,13374500,,,,
2015-11-01,1248.849976,16374400,,,,
2015-12-01,1274.949951,9814900,,,,
2016-01-01,1064.969971,16516200,,,,
2016-02-01,1265.209961,18850700,,,,
2016-03-01,1288.959961,10481400,,,,
2016-04-01,1343.660034,9772300,,,,
2016-05-01,1264.329956,13116300,,,,
2016-06-01,1248.410034,17913000,,,,
2016-07-01,1350.810059,11028200,,,,
2016-08-01,1416.72998,11460300,,,,
2016-09-01,1471.48999,9148800,,,,
2016-10-01,1474.22998,7950900,,,,
2016-11-01,1503.680054,12356800,,,,
2016-12-01,1466.060059,7853500,,,,
2017-01-01,1575.130005,7794900,,,,
2017-02-01,1724.130005,9296900,,,,
2017-03-01,1779.969971,8280500,,,,
2017-04-01,1846.819946,7271000,,,,
2017-05-01,1877.089966,12537800,,,,
2017-06-01,1870.52002,10394200,,,,
2017-07-01,2028.5,7483900,,,,
2017-08-01,1852.079956,12736500,,,,
2017-09-01,1830.819946,7528200,,,,
2017-10-01,1911.959961,7909400,,,,
2017-11-01,1739.709961,14776700,,,,
2017-12-01,1737.73999,7370900,,,,
2018-01-01,1912.050049,9515000,"Booking Holdings finished 2017 with a strong 4th quarter, reporting year-over-year growth in room nights booked of 17% and Adjusted EBITDA growth of 23%. We are pleased with the solid execution across all of our brands in 2017 as we moved ahead on important investments in the year while driving strong top-line growth. We intend to continue to strategically invest in our business by growing our supply base to drive customer choice, innovating around the customer and supplier experience and investing in marketing that builds consumer awareness for our brands and delivers profitable top-line growth.",-189.63000499999998,71.94995100000006,196.8698730000001
2018-02-01,2034.040039,11440000,,,,
2018-03-01,2080.389893,10095700,,,,
2018-04-01,2178.0,7068800,,,,
2018-05-01,2108.919922,8677700,,,,
2018-06-01,2027.089966,7271100,,,,
2018-07-01,2028.719971,6910400,,,,
2018-08-01,1951.550049,12332900,,,,
2018-09-01,1984.0,7530800,,,,
2018-10-01,1874.579956,9662400,,,,
2018-11-01,1891.880005,9337500,,,,
2018-12-01,1722.420044,8224500,,,,
2019-01-01,1832.810059,9748300,"2018 was a good year for Booking Holdings as we met many important financial and strategic goals. In 2018, we achieved a new milestone exceeding three-quarters of a billion total booked room nights and produced strong year-over-year growth across our key financial metrics. I am excited about the investments we are making in 2019 as we position the Company for long-term growth.",220.91992100000016,129.79992600000014,-176.59008799999992
2019-02-01,1697.040039,8396100,,,,
2019-03-01,1744.910034,12829200,,,,
2019-04-01,1854.98999,8774100,,,,
2019-05-01,1656.219971,9800200,,,,
2019-06-01,1874.709961,8085300,,,,
2019-07-01,1886.609985,5961300,,,,
2019-08-01,1966.410034,7278500,,,,
2019-09-01,1962.609985,6912200,,,,
2019-10-01,2048.77002,5047200,,,,
2019-11-01,1904.030029,8811600,,,,
