Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo
2015-01-01,76.199989,92901100,,,,
2015-02-01,78.428024,56880100,,,,
2015-03-01,75.27066,64639800,,,,
2015-04-01,78.058167,73885900,,,,
2015-05-01,77.041,63584300,,,,
2015-06-01,75.803902,60264900,,,,
2015-07-01,80.066956,64611900,,,,
2015-08-01,76.382721,74416900,,,,
2015-09-01,77.74823,70596400,,,,
2015-10-01,81.159409,65687500,,,,
2015-11-01,81.151543,49048800,,,,
2015-12-01,76.342033,75692000,,,,
2016-01-01,73.938232,68562300,,,,
2016-02-01,76.595863,76065200,,,,
2016-03-01,84.341583,60881700,,,,
2016-04-01,84.021729,48451600,,,,
2016-05-01,82.438385,56002300,,,,
2016-06-01,86.801743,59039900,,,,
2016-07-01,87.107933,48774900,,,,
2016-08-01,88.01046,46169800,,,,
2016-09-01,88.747444,53175200,,,,
2016-10-01,87.449036,43726800,,,,
2016-11-01,94.070976,62746300,,,,
2016-12-01,93.684555,52181200,,,,
2017-01-01,89.18174,53083500,,,,
2017-02-01,86.427742,83748000,,,,
2017-03-01,88.358932,60386400,,,,
2017-04-01,88.4907,55734700,,,,
2017-05-01,87.263725,54330100,,,,
2017-06-01,91.793068,61257900,,,,
2017-07-01,91.544075,51627600,,,,
2017-08-01,94.92231,48428900,,,,
2017-09-01,100.419861,43751100,,,,
2017-10-01,98.27916,53481200,,,,
2017-11-01,101.557083,58559500,,,,
2017-12-01,100.374039,57106900,,,,
2018-01-01,107.256592,79526300,"We achieved our 2017 adjusted earnings-per-share target through exceptionally strong revenue and yield growth, coupled with benefits from our network investments and portfolio initiatives. We made significant progress on key capacity investments in 2017. Our momentum, transformative actions and the economic catalyst from the Tax Cuts and Jobs Act (TCJA), position UPS for growth in 2018 and beyond. We expect to unlock significant resources, which will be available for accelerated investments in our network and create additional opportunities for our people.",-22.41645799999999,-2.0420529999999957,-10.832092000000003
2018-02-01,87.956787,131437800,,,,
2018-03-01,88.914452,93099200,,,,
2018-04-01,96.4245,77487800,,,,
2018-05-01,98.650352,67943000,,,,
2018-06-01,90.958183,63027700,,,,
2018-07-01,102.654404,52384600,,,,
2018-08-01,105.214539,46590000,,,,
2018-09-01,100.722626,50754200,,,,
2018-10-01,91.914246,70915300,,,,
2018-11-01,99.463051,56818000,,,,
2018-12-01,84.840134,83111000,,,,
2019-01-01,91.686142,82892800,"We achieved our 2018 adjusted earnings-per-share goal by successfully executing Transformation investments and initiatives that lifted revenue quality and improved efficiency. Our diverse portfolio, global footprint and flexible network position UPS for profitable growth in 2019 and beyond.",13.716155999999998,13.436638000000002,1.524138999999991
2019-02-01,95.86161,60104900,,,,
2019-03-01,98.054184,60680100,,,,
2019-04-01,93.210281,67209000,,,,
2019-05-01,81.539253,66606800,,,,
2019-06-01,91.488525,66087900,,,,
2019-07-01,105.840355,80392100,,,,
2019-08-01,105.12278,68599000,,,,
2019-09-01,107.052727,57325600,,,,
2019-10-01,102.898193,70022500,,,,
2019-11-01,106.972321,49247300,,,,
2019-12-01,105.402298,61191300,,,,
2020-01-01,93.210709,66496900,"Our network improvements from transformation enabled UPS to embrace a surge in demand for air products while at the same time generate productivity improvements and positive operating leverage. Looking to 2020, we will continue to adapt to the changing environment, strengthen our network and create new solutions to support our strategic growth initiatives and help our customers grow and compete.",63.46266100000001,57.13505500000001,-7.133109999999988
2020-02-01,81.478325,98177400,,,,
2020-03-01,84.950043,163951500,,,,
2020-04-01,86.077599,109677700,,,,
2020-05-01,90.669754,85652700,,,,
2020-06-01,102.160149,96980200,,,,
2020-07-01,131.178131,105688000,,,,
2020-08-01,150.345764,83691800,,,,
2020-09-01,154.087036,79559200,,,,
2020-10-01,145.28363,89065000,,,,
2020-11-01,158.192795,78400800,,,,
2020-12-01,156.67337,76396500,,,,
2021-01-01,144.206497,75022300,"Our financial performance in the fourth quarter exceeded our expectations, and I thank all UPSers for their extraordinary efforts to deliver industry-leading service through the holidays. I’d also like to thank our customers who worked with us during this challenging year. As we look past 2020 into the new year, we are optimistic. During the fourth quarter, we began transporting COVID-19 vaccines and we stand ready to deliver hope and health to people around the world.",59.49865699999998,39.83049,46.658431999999976
2021-02-01,146.839401,69228200,,,,
2021-03-01,159.153992,81451900,,,,
2021-04-01,190.864929,80901600,,,,
2021-05-01,200.920319,66134500,,,,
2021-06-01,195.645721,78516500,,,,
2021-07-01,180.020035,67062300,,,,
2021-08-01,184.036987,50529500,,,,
2021-09-01,172.213959,53626300,,,,
2021-10-01,201.88092,64172500,,,,
2021-11-01,187.600677,51807700,,,,
2021-12-01,203.705154,51430600,,,,
2022-01-01,192.177032,53064400,I want to thank all UPSers for their outstanding efforts throughout the holiday season and for once again delivering industry-leading service to our customers. The execution of our strategy is delivering positive financial results and driving strong momentum as we move into 2022.,-21.49470500000001,-4.3769220000000075,-19.884169999999983
2022-02-01,199.97966,77703700,,,,
2022-03-01,205.300186,65107600,,,,
2022-04-01,172.292862,76896000,,,,
2022-05-01,174.465912,80791300,,,,
2022-06-01,176.243042,70717800,,,,
2022-07-01,188.167007,57130400,,,,
2022-08-01,187.80011,50008300,,,,
2022-09-01,157.135818,73873500,,,,
2022-10-01,163.195984,68308800,,,,
2022-11-01,184.557266,60023100,,,,
2022-12-01,170.682327,71806500,,,,
2023-01-01,181.865417,55363200,,,,
2023-02-01,179.175201,51954600,,,,
2023-03-01,192.14389,85994900,,,,
2023-04-01,178.098831,67150700,,,,
2023-05-01,165.410736,67067500,,,,
